title,platform,release_year,runtime,genre,budget,revenue,vote_average,vote_count
School of Rock,Netflix,2003.0,110.0,Comedies,35000000.0,131282949.0,6.8,1454.0
Snervous Tyler Oakley,Netflix,2015.0,83.0,Documentaries,,,,
Tears of the Sun,Netflix,2003.0,121.0,Action & Adventure,70000000.0,85632458.0,6.4,582.0
The Blue Lagoon,Netflix,1980.0,105.0,Dramas,4500000.0,58853106.0,5.8,422.0
The Blue Lagoon,Netflix,1980.0,105.0,Dramas,0.0,0.0,6.5,1.0
The Golden Child,Netflix,1986.0,94.0,Action & Adventure,25000000.0,79817939.0,5.6,311.0
The Guns of Navarone,Netflix,1961.0,156.0,Action & Adventure,6000000.0,28900000.0,7.3,191.0
The Interview,Netflix,2014.0,112.0,Action & Adventure,0.0,0.0,6.8,32.0
The Interview,Netflix,2014.0,112.0,Action & Adventure,44000000.0,12342632.0,6.1,2340.0
The Nutty Professor,Netflix,1996.0,95.0,Comedies,54000000.0,128769345.0,5.4,717.0
The Nutty Professor,Netflix,1996.0,95.0,Comedies,0.0,0.0,6.6,90.0
The Nutty Professor II: The Klumps,Netflix,2000.0,107.0,Comedies,,,,
Welcome Home Roscoe Jenkins,Netflix,2008.0,114.0,Comedies,35000000.0,43650785.0,5.7,58.0
In the Line of Fire,Netflix,1993.0,129.0,Action & Adventure,40000000.0,176997168.0,6.8,392.0
Untold: Crime & Penalties,Netflix,2021.0,86.0,Documentaries,,,,
2 Alone in Paris,Netflix,2008.0,97.0,Comedies,0.0,0.0,5.1,74.0
Thimmarusu,Netflix,2021.0,125.0,Dramas,,,,
Wind River,Netflix,2017.0,107.0,Dramas,11000000.0,184770205.0,7.4,181.0
C Kkompany,Netflix,2008.0,127.0,Action & Adventure,,,,
EMI: Liya Hai To Chukana Padega,Netflix,2008.0,128.0,Comedies,0.0,0.0,4.0,1.0
He's All That,Netflix,2021.0,92.0,Comedies,,,,
Koi Aap Sa,Netflix,2006.0,135.0,Comedies,,,,
Krishna Cottage,Netflix,2004.0,124.0,Action & Adventure,0.0,0.0,4.8,4.0
Kucch To Hai,Netflix,2003.0,136.0,Dramas,,,,
Kyaa Kool Hai Hum,Netflix,2005.0,165.0,Comedies,0.0,0.0,4.8,8.0
Kyaa Kool Hain Hum 3,Netflix,2016.0,124.0,Comedies,,,,
Kyaa Super Kool Hain Hum,Netflix,2012.0,136.0,Comedies,,,,
Kyo Kii... Main Jhuth Nahin Bolta,Netflix,2001.0,150.0,Comedies,,,,
"LSD: Love, Sex Aur Dhokha",Netflix,2010.0,112.0,Dramas,0.0,0.0,6.6,9.0
Mission Istaanbul: Darr Ke Aagey Jeet Hai,Netflix,2008.0,119.0,Action & Adventure,,,,
Once Upon a Time in Mumbaai,Netflix,2010.0,133.0,Dramas,10.0,0.0,6.8,21.0
Once Upon a Time in Mumbai Dobaara!,Netflix,2013.0,142.0,Dramas,,,,
Ragini MMS,Netflix,2011.0,93.0,Horror Movies,,,,
Ragini MMS 2,Netflix,2014.0,113.0,Horror Movies,,,,
SAS: Rise of the Black Swan,Netflix,2021.0,124.0,Action & Adventure,,,,
Shootout at Lokhandwala,Netflix,2007.0,116.0,Action & Adventure,11000000.0,12000000.0,6.0,15.0
Shor In the City,Netflix,2011.0,106.0,Comedies,0.0,0.0,6.5,9.0
The Dirty Picture,Netflix,2011.0,145.0,Comedies,0.0,0.0,5.8,17.0
"Bob Ross: Happy Accidents, Betrayal & Greed",Netflix,2021.0,93.0,Documentaries,,,,
Really Love,Netflix,2020.0,95.0,Dramas,,,,
The November Man,Netflix,2014.0,108.0,Action & Adventure,15000000.0,32556119.0,6.0,645.0
The Old Ways,Netflix,2020.0,90.0,Horror Movies,,,,
The River Runner,Netflix,2021.0,86.0,Documentaries,,,,
The Water Man,Netflix,2021.0,92.0,Children & Family Movies,,,,
Count Me In,Netflix,2021.0,82.0,Documentaries,,,,
Untold: Caitlyn Jenner,Netflix,2021.0,70.0,Documentaries,,,,
Boomika,Netflix,2021.0,122.0,Horror Movies,,,,
Boomika (Hindi),Netflix,2021.0,122.0,Horror Movies,,,,
Boomika (Malayalam),Netflix,2021.0,122.0,Horror Movies,,,,
Boomika (Telugu),Netflix,2021.0,122.0,Horror Movies,,,,
The Witcher: Nightmare of the Wolf,Netflix,2021.0,84.0,Action & Adventure,,,,
Gunshot,Netflix,2018.0,96.0,Dramas,,,,
Man in Love,Netflix,2021.0,115.0,Dramas,,,,
Sweet Girl,Netflix,2021.0,110.0,Action & Adventure,,,,
The Loud House Movie,Netflix,2021.0,88.0,Children & Family Movies,,,,
A Faraway Land,Netflix,2020.0,102.0,Dramas,,,,
Like Crazy,Netflix,2011.0,91.0,Dramas,250000.0,3542353.0,6.5,386.0
Like Crazy,Netflix,2011.0,91.0,Dramas,0.0,0.0,7.3,187.0
Black Island,Netflix,2021.0,105.0,International Movies,,,,
Bombay,Netflix,1995.0,135.0,Dramas,,,,
Memories of a Murderer: The Nilsen Tapes,Netflix,2021.0,86.0,Documentaries,,,,
Nneka The Pretty Serpent,Netflix,2020.0,140.0,Dramas,,,,
O Kadhal Kanmani,Netflix,2015.0,133.0,Dramas,940000.0,5100000.0,5.8,12.0
Out of my league,Netflix,2020.0,92.0,Comedies,,,,
Pahuna,Netflix,2018.0,82.0,Comedies,,,,
The Secret Diary of an Exchange Student,Netflix,2021.0,97.0,Comedies,,,,
Untold: Deal With the Devil,Netflix,2021.0,78.0,Documentaries,,,,
Walk of Shame,Netflix,2014.0,94.0,Comedies,15000000.0,59209.0,5.8,561.0
The Piano,Netflix,1993.0,121.0,Classic Movies,7000000.0,116700000.0,7.1,290.0
Unroyal,Netflix,2020.0,97.0,Dramas,,,,
Beckett,Netflix,2021.0,110.0,Action & Adventure,,,,
Lokillo: Nothing's the Same,Netflix,2021.0,64.0,Stand-Up Comedy,,,,
Monster Hunter: Legends of the Guild,Netflix,2021.0,59.0,Action & Adventure,,,,
Brother Jekwu,Netflix,2016.0,101.0,Comedies,,,,
La diosa del asfalto,Netflix,2020.0,127.0,Dramas,,,,
Misha and the Wolves,Netflix,2021.0,90.0,Documentaries,,,,
The Kissing Booth 3,Netflix,2021.0,114.0,Comedies,,,,
The Railway Man,Netflix,2013.0,108.0,Dramas,18000000.0,22309223.0,6.7,277.0
Untold: Malice at the Palace,Netflix,2021.0,70.0,Documentaries,,,,
Quartet,Netflix,2012.0,98.0,Comedies,0.0,0.0,4.6,6.0
Quartet,Netflix,2012.0,98.0,Comedies,11000000.0,59520298.0,6.4,141.0
Quartet,Netflix,2012.0,98.0,Comedies,0.0,0.0,6.8,3.0
Slay,Netflix,2021.0,86.0,Comedies,,,,
Takizawa Kabuki ZERO 2020 The Movie,Netflix,2020.0,139.0,International Movies,,,,
The Paper Tigers,Netflix,2021.0,111.0,Action & Adventure,,,,
Quam's Money,Netflix,2020.0,115.0,Comedies,,,,
The Swarm,Netflix,2021.0,102.0,Horror Movies,0.0,0.0,5.4,50.0
Vivo,Netflix,2021.0,100.0,Children & Family Movies,,,,
Chennai Express,Netflix,2013.0,135.0,Action & Adventure,18000000.0,62000000.0,6.5,91.0
City of God: 10 Years Later,Netflix,2013.0,69.0,Documentaries,,,,
Esperando la carroza,Netflix,1985.0,95.0,Comedies,,,,
Esperando La Carroza,Netflix,1985.0,95.0,Comedies,,,,
Lady Boss: The Jackie Collins Story,Netflix,2021.0,97.0,Documentaries,,,,
Tango Feroz,Netflix,1993.0,124.0,Classic Movies,,,,
'76,Netflix,2016.0,118.0,Dramas,,,,
Aftermath,Netflix,2021.0,115.0,Horror Movies,0.0,0.0,6.0,20.0
Aftermath,Netflix,2021.0,115.0,Horror Movies,0.0,0.0,6.1,34.0
Aftermath,Netflix,2021.0,115.0,Horror Movies,0.0,0.0,4.3,19.0
Aftermath,Netflix,2021.0,115.0,Horror Movies,0.0,0.0,3.9,6.0
Aftermath,Netflix,2021.0,115.0,Horror Movies,0.0,0.0,6.2,5.0
Aftermath,Netflix,2021.0,115.0,Horror Movies,10500000.0,3451.0,5.8,162.0
American Masters: Inventing David Geffen,Netflix,2012.0,115.0,Movies,,,,
Heavy,Netflix,1995.0,104.0,Dramas,0.0,0.0,7.7,11.0
Ije: The Journey,Netflix,2010.0,106.0,Dramas,,,,
Pray Away,Netflix,2021.0,102.0,Documentaries,,,,
Shiny_Flakes: The Teenage Drug Lord,Netflix,2021.0,97.0,Documentaries,,,,
Beethoven,Netflix,1992.0,87.0,Children & Family Movies,0.0,147214049.0,5.6,425.0
Beethoven's 2nd,Netflix,1993.0,88.0,Children & Family Movies,15000000.0,118243066.0,5.0,175.0
Beowulf,Netflix,2007.0,114.0,Action & Adventure,20000000.0,1531251.0,4.4,52.0
Beowulf,Netflix,2007.0,114.0,Action & Adventure,70000000.0,195735876.0,5.5,855.0
Boyka: Undisputed,Netflix,2016.0,90.0,Action & Adventure,,,,
Catch Me If You Can,Netflix,2002.0,142.0,Dramas,52000000.0,352114312.0,7.7,3917.0
Catch Me If You Can,Netflix,2002.0,142.0,Dramas,0.0,0.0,6.0,3.0
Cloudy with a Chance of Meatballs,Netflix,2009.0,90.0,Children & Family Movies,100000000.0,242988466.0,6.5,1799.0
Deep Blue Sea,Netflix,1999.0,105.0,Action & Adventure,60000000.0,73648228.0,5.6,616.0
Ferris Bueller's Day Off,Netflix,1986.0,103.0,Classic Movies,6000000.0,70136369.0,7.5,1340.0
Five Feet Apart,Netflix,2019.0,116.0,Dramas,,,,
Freedomland,Netflix,2006.0,113.0,Dramas,37665000.0,14655628.0,5.2,71.0
Good Luck Chuck,Netflix,2007.0,99.0,Comedies,25000000.0,59192128.0,5.6,454.0
I missed you: Director's Cut,Netflix,2021.0,96.0,Dramas,,,,
Inception,Netflix,2010.0,148.0,Action & Adventure,160000000.0,825532764.0,8.1,14075.0
Magnolia,Netflix,1999.0,189.0,Dramas,37000000.0,48451803.0,7.5,844.0
Major Payne,Netflix,1995.0,97.0,Comedies,0.0,0.0,6.1,164.0
My Girl,Netflix,1991.0,102.0,Dramas,16500000.0,0.0,7.0,441.0
My Girl,Netflix,1991.0,102.0,Dramas,0.0,0.0,7.2,9.0
My Girl 2,Netflix,1994.0,99.0,Children & Family Movies,0.0,0.0,5.4,111.0
Open Season: Scared Silly,Netflix,2015.0,85.0,Children & Family Movies,0.0,0.0,5.5,57.0
Pineapple Express,Netflix,2008.0,112.0,Action & Adventure,27000000.0,101624843.0,6.6,1169.0
Planet 51,Netflix,2009.0,91.0,Children & Family Movies,70000000.0,104945765.0,5.6,573.0
Poms,Netflix,2019.0,91.0,Comedies,,,,
Seabiscuit,Netflix,2003.0,141.0,Dramas,87000000.0,148336445.0,6.8,219.0
Space Cowboys,Netflix,2000.0,130.0,Action & Adventure,65000000.0,128884132.0,6.3,407.0
Team America: World Police,Netflix,2004.0,98.0,Action & Adventure,32000000.0,50907422.0,6.6,667.0
The Edge of Seventeen,Netflix,2016.0,105.0,Comedies,9000000.0,18803648.0,7.3,952.0
The Haunting in Connecticut 2: Ghosts of Georgia,Netflix,2013.0,101.0,Horror Movies,0.0,0.0,5.6,177.0
The Last Boy Scout,Netflix,1991.0,105.0,Action & Adventure,29000000.0,59509925.0,6.5,502.0
The Lincoln Lawyer,Netflix,2011.0,118.0,Dramas,40000000.0,85412898.0,7.0,923.0
The Losers,Netflix,2010.0,97.0,Action & Adventure,25000000.0,23580000.0,6.2,522.0
The Machinist,Netflix,2004.0,102.0,Dramas,5000000.0,8203235.0,7.3,1280.0
The Net,Netflix,1995.0,114.0,Thrillers,22000000.0,110627965.0,5.6,359.0
The Net,Netflix,1995.0,114.0,Thrillers,0.0,0.0,0.0,0.0
The Original Kings of Comedy,Netflix,2000.0,111.0,Stand-Up Comedy,0.0,0.0,6.5,16.0
Valentine's Day,Netflix,2010.0,125.0,Comedies,52000000.0,216485654.0,5.7,1043.0
The Lost Café,Netflix,2018.0,76.0,Dramas,,,,
The Vault,Netflix,2021.0,118.0,Action & Adventure,,,,
Eyes of a Thief,Netflix,2014.0,103.0,Dramas,0.0,0.0,5.0,1.0
I'm Glad I Did,Netflix,2020.0,114.0,Documentaries,,,,
Pomegranates and Myrrh,Netflix,2009.0,95.0,Dramas,,,,
Rurouni Kenshin: The Beginning,Netflix,2021.0,138.0,Action & Adventure,,,,
The Last Mercenary,Netflix,2021.0,112.0,Action & Adventure,,,,
Flower Girl,Netflix,2013.0,94.0,Comedies,0.0,0.0,5.0,3.0
Resort to Love,Netflix,2021.0,102.0,Comedies,,,,
Bartkowiak,Netflix,2021.0,92.0,Action & Adventure,,,,
Fantastic Fungi,Netflix,2019.0,81.0,Documentaries,,,,
Department,Netflix,2012.0,143.0,Action & Adventure,,,,
Hostage House,Netflix,2021.0,86.0,Thrillers,,,,
Mimi,Netflix,2021.0,132.0,Comedies,,,,
The Operative,Netflix,2019.0,117.0,Dramas,,,,
Django Unchained,Netflix,2012.0,165.0,Action & Adventure,100000000.0,425368238.0,7.8,10297.0
A Second Chance:  Rivals!,Netflix,2021.0,91.0,Children & Family Movies,,,,
African America,Netflix,2021.0,97.0,Dramas,,,,
Bankrolled,Netflix,2021.0,97.0,Comedies,,,,
Blood Red Sky,Netflix,2021.0,123.0,Action & Adventure,,,,
Kingdom: Ashin of the North,Netflix,2021.0,94.0,Horror Movies,,,,
The Last Letter From Your Lover,Netflix,2021.0,111.0,Dramas,,,,
9to5: The Story of a Movement,Netflix,2021.0,85.0,Documentaries,,,,
Chhota Bheem - Dinosaur World,Netflix,2015.0,65.0,Children & Family Movies,,,,
Chhota Bheem - Neeli Pahaadi,Netflix,2013.0,64.0,Children & Family Movies,,,,
Chhota Bheem & Ganesh,Netflix,2009.0,68.0,Children & Family Movies,,,,
Chhota Bheem & Krishna: Mayanagari,Netflix,2011.0,67.0,Children & Family Movies,,,,
Chhota Bheem & Krishna: Pataliputra- City of the Dead,Netflix,2010.0,66.0,Children & Family Movies,,,,
Chhota Bheem And The Broken Amulet,Netflix,2013.0,64.0,Children & Family Movies,,,,
Chhota Bheem And The Crown of Valhalla,Netflix,2013.0,64.0,Children & Family Movies,,,,
Chhota Bheem and the Incan Adventure,Netflix,2013.0,65.0,Children & Family Movies,,,,
Chhota Bheem and The ShiNobi Secret,Netflix,2013.0,64.0,Children & Family Movies,,,,
Chhota Bheem Aur Hanuman,Netflix,2012.0,68.0,Children & Family Movies,,,,
Chhota Bheem aur Krishna,Netflix,2009.0,68.0,Children & Family Movies,,,,
Chhota Bheem aur Krishna vs Zimbara,Netflix,2013.0,64.0,Children & Family Movies,,,,
Chhota Bheem in African Safari,Netflix,2015.0,62.0,Children & Family Movies,,,,
Chhota Bheem Ka Roosi Romanch,Netflix,2019.0,63.0,Children & Family Movies,,,,
Chhota Bheem: Bheem vs Aliens,Netflix,2010.0,69.0,Children & Family Movies,,,,
Chhota Bheem: Dholakpur to Kathmandu,Netflix,2012.0,70.0,Children & Family Movies,,,,
Chhota Bheem: Dus Pe Dus,Netflix,2014.0,63.0,Children & Family Movies,,,,
Chhota Bheem: Journey to Petra,Netflix,2011.0,68.0,Children & Family Movies,,,,
Chhota Bheem: Master of Shaolin,Netflix,2011.0,74.0,Children & Family Movies,,,,
Chhota Bheem: The Rise of Kirmada,Netflix,2012.0,68.0,Children & Family Movies,,,,
Cousins,Netflix,2021.0,99.0,Dramas,13000000.0,22030000.0,5.1,14.0
Wannabe Courageous,Netflix,2019.0,90.0,Comedies,,,,
Words Bubble Up Like Soda Pop,Netflix,2021.0,87.0,Anime Features,,,,
Sanitation Day,Netflix,2020.0,105.0,Dramas,,,,
Trollhunters: Rise of the Titans,Netflix,2021.0,106.0,Children & Family Movies,,,,
Milkwater,Netflix,2020.0,102.0,Comedies,,,,
The Tambour of Retribution,Netflix,2021.0,91.0,Dramas,,,,
Cosmic Sin,Netflix,2021.0,88.0,Action & Adventure,,,,
2 Weeks in Lagos,Netflix,2020.0,107.0,Dramas,,,,
Deep,Netflix,2021.0,101.0,Dramas,,,,
Fear Street Part 3: 1666,Netflix,2021.0,114.0,Horror Movies,,,,
La ley de Herodes,Netflix,1999.0,123.0,Comedies,,,,
The Beguiled,Netflix,2017.0,94.0,Dramas,0.0,0.0,7.0,86.0
The Beguiled,Netflix,2017.0,94.0,Dramas,10500000.0,25442939.0,5.8,279.0
The Book of Henry,Netflix,2017.0,105.0,Dramas,10000000.0,4219536.0,7.6,84.0
The Twilight Saga: Breaking Dawn: Part 1,Netflix,2011.0,117.0,Dramas,,,,
The Twilight Saga: Breaking Dawn: Part 2,Netflix,2012.0,115.0,Dramas,,,,
The Twilight Saga: Eclipse,Netflix,2010.0,124.0,Dramas,68000000.0,698491347.0,5.9,2382.0
The Twilight Saga: New Moon,Netflix,2009.0,131.0,Dramas,50000000.0,709827462.0,5.6,2518.0
Twilight,Netflix,2008.0,122.0,Action & Adventure,0.0,0.0,6.1,36.0
Twilight,Netflix,2008.0,122.0,Action & Adventure,37000000.0,392616625.0,5.8,3688.0
A Perfect Fit,Netflix,2021.0,113.0,Comedies,,,,
Cheech & Chong's Still Smokin,Netflix,1983.0,91.0,Comedies,,,,
Emicida: AmarElo - Live in São Paulo,Netflix,2021.0,100.0,Documentaries,,,,
Lift Like a Girl,Netflix,2021.0,93.0,Documentaries,,,,
My Amanda,Netflix,2021.0,90.0,Dramas,,,,
Surf's Up,Netflix,2007.0,86.0,Children & Family Movies,85000000.0,149044513.0,5.9,616.0
The Unknown Saint,Netflix,2019.0,100.0,Comedies,,,,
This Changes Everything,Netflix,2019.0,96.0,Documentaries,0.0,0.0,6.0,2.0
A Classic Horror Story,Netflix,2021.0,95.0,Horror Movies,,,,
Gunpowder Milkshake,Netflix,2021.0,115.0,Action & Adventure,,,,
